Postal Code,Latitude,Longitude
H1A,45.651381,-73.50238
H1B,45.662719,-73.505814
H1C,45.662676,-73.555524
H1E,45.629804,-73.596173
H1G,45.6161257,-73.6262271
H1H,45.590816,-73.650184
H1J,45.625926,-73.551592
H1K,45.609658,-73.545875
H1L,45.676445,-73.501038
H1M,45.595471,-73.557096
H1N,45.592276,-73.545892
H1P,45.60696,-73.60618
H1R,45.586592,-73.607993
H1S,45.5681346,-73.5855869
H1T,45.5695312,-73.5731155
H1V,45.556924,-73.5369295
H1W,45.459538,-73.630836
H1X,45.5570228,-73.5704278
H1Y,45.545058,-73.56697
H1Z,45.584853,-73.651772
H2A,45.561785,-73.599742
H2B,45.573008,-73.649447
H2C,45.5598987,-73.6558905
H2E,45.553559,-73.612706
H2G,45.5409777,-73.5974305
H2H,45.538398,-73.565672
H2J,45.531332,-73.591457
H2K,45.527907,-73.560279
H2L,45.500944,-73.568281
H2M,45.552178,-73.6316344
H2N,45.539304,-73.649657
H2P,45.616825,-73.5624
H2R,45.5417364,-73.6148955
H2S,45.535704,-73.60623
H2T,45.523391,-73.595635
H2V,45.515601,-73.608075
H2W,45.520926,-73.578866
H2X,45.509807,-73.559776
H2Y,45.50482,-73.555708
H2Z,45.503721,-73.561813
H3A,45.500257,-73.575435
H3B,45.515439,-73.553814
H3C,45.461658,-73.87242
H3E,45.44994,-73.550253
H3G,45.500333,-73.58008
H3H,45.4950493,-73.5782236
H3J,45.484769,-73.572828
H3K,45.479688,-73.558618
H3L,45.539429,-73.661567
H3M,45.53203,-73.6895399
H3N,45.530147,-73.630941
H3P,45.5230176,-73.624175
H3R,45.509411,-73.653498
H3S,45.506159,-73.629082
H3T,45.500898,-73.61975
H3V,45.495727,-73.607574
H3W,45.502607,-73.623819
H3X,45.4840535,-73.6501956
H3Y,45.484181,-73.6143589
H3Z,45.486177,-73.587796
H4A,45.470945,-73.608485
H4B,45.4635746,-73.6316133
H4C,45.481639,-73.582507
H4E,45.46203,-73.59651
H4G,45.474181,-73.569793
H4H,45.447093,-73.580672
H4J,45.5287376,-73.7076051
H4K,45.525195,-73.738551
H4L,45.505717,-73.675223
H4M,45.505726,-73.6808854
H4N,45.5251975,-73.6704837
H4P,45.4974431,-73.6590576
H4R,45.507783,-73.714875
H4S,45.482925,-73.72386
H4T,45.4868044,-73.697874
H4V,45.4671192,-73.6501059
H4W,45.4788191,-73.658951
H4X,45.453677,-73.655022
H4Y,45.413521,-73.499133
H4Z,45.501054,-73.561407
H5A,45.500795,-73.56523
H5B,45.509899,-73.851736
H7A,45.6599132,-73.5915024
H7B,45.679779,-73.638302
H7C,45.627591,-73.655944
H7E,45.62435,-73.68875
H7G,45.590512,-73.69438
H7H,45.6298419,-73.7574528
H7J,45.663214,-73.7470249
H7K,45.531478,-73.808806
H7L,45.591563,-73.796322
H7M,45.597515,-73.717576
H7N,45.581744,-73.746708
H7P,45.5600787,-73.7904376
H7R,45.581744,-73.746708
H7S,45.5734042,-73.7316825
H7T,45.563909,-73.756198
H7V,45.54915,-73.731244
H7W,45.530364,-73.751589
H7X,45.51991,-73.777565
H7Y,45.520153,-73.853622
H8N,45.446562,-73.630615
H8P,45.426683,-73.605326
H8R,45.4480202,-73.650143
H8S,45.439053,-73.663802
H8T,45.4538431,-73.7079691
H8Y,45.506509,-73.790444
H8Z,45.5154277,-73.83639
H9A,45.4940213,-73.8346345
H9B,45.4877792,-73.8082596
H9C,45.5033713,-73.8762796
H9E,45.4823947,-73.9046267
H9G,45.479071,-73.844968
H9H,45.482974,-73.86252
H9J,45.4485527,-73.8709548
H9K,45.4556408,-73.9200606
H9P,45.4752861,-73.7721807
H9R,45.461044,-73.811967
H9S,45.446821,-73.731577
H9W,45.412938,-73.8583147
H9X,45.4304356,-73.9224519
